,name,born,proven_victims,estimated_victims,zodiac_sign
373,"Miller, Donald Gene",12/28/1954,4,4,capricorn
374,"Miller, Joseph Daniel",9/2/1964,5,5+,virgo
375,"Miller, Joseph Robert",1/15/1955,6,6+,capricorn
376,"Morris, Cory",5/10/1978,5,5+,taurus
377,"Mors, Frederick",1889-10-02,8,8,libra
378,"Morse, Hugh",1/9/1930,4,4+,capricorn
379,"Morton, David Bruce",5/14/1959,3,3+,taurus
380,"Mosley, Eddie",3/31/1947,8,16+,aries
381,"Muhammad, John Allen",12/31/1960,7,17,capricorn
382,Lee Boyd Malvo,2/18/1985,7,17,aquarius
383,"Mullin, Herbert",4/18/1947,11,13,aries
384,"Mullins, Michael",6/28/1961,3,3,cancer
385,"Nance, Wayne",10/18/1955,0,5+,libra
386,"Naso, Joseph",1/7/1934,6,10,capricorn
387,"Neelley, Alvin",7/15/1953,2,2,cancer
388,Judith Neelley,7/15/1953,2,2,cancer
389,"Neelley, Judith",7/15/1953,2,2,cancer
390,Alvin Neelley,7/15/1953,2,2,cancer
391,"Newman, Allan Patterson",2/22/1951,4,4,pisces
392,"Ng, Charles",12/24/1960,11,25,capricorn
393,Leonard Lake,10/29/1945,11,25,scorpio
394,"Nixon, Robert",7/19/1919,3,5,cancer
395,Richard Wright,9/4/1908,3,5,virgo
396,"Noe, Marie",8/23/1928,8,8,virgo
397,"Norris, Roy",9/27/1940,5,5,libra
398,Lawrence Bittaker,9/27/1940,5,5,libra
399,"Northcott, Gordon Stewart",11/9/1906,3,20,scorpio
400,"Ocampo, Itzcoatl",3/20/1988,6,6,pisces
401,"O'Dell, Diane",5/17/2003,3,4,taurus
402,Coretta Scott King,4/27/1927,4,5,taurus
403,"Page, Ivan",4/7/1969,3,3,aries
404,"Panzram, Carl",1891-06-28,5,22,cancer
405,"Pardo, Manuel",9/24/1956,9,9,libra
406,"Paster, James",1/30/1945,3,5,aquarius
407,Stephen McCoy,1/30/1945,3,5,aquarius
408,"Peete, Louise",1880-09-20,3,3+,virgo
409,"Perkins, Reginald",4/29/1955,3,6,taurus
410,"Peterson, Christopher",1/20/1969,4,7,aquarius
411,"Pierce, William",10/11/1931,9,9+,libra
412,"Piper, Thomas W.",1849-04-22,2,2+,taurus
413,"Powers, Harry",1893-11-17,5,5+,scorpio
414,"Price, Craig",10/11/1973,4,4,libra
415,"Price, Larme",6/27/1972,4,4,cancer
416,September 11 attacks,9/11/2001,4,4,virgo
417,"Prieto, Alfredo",11/18/1965,9,9,scorpio
418,"Prince Jr., Cleophus",7/24/1967,6,6,leo
419,"Pruett, Marion Albert",10/4/1949,5,5,libra
420,"Puente, Dorothea",1/9/1929,9,15,capricorn
421,"Rader, Dennis",3/9/1945,10,10,pisces
422,"Ralston, Larry",7/5/1949,4,5+,cancer
423,"Ramirez, Richard",2/29/1960,15,15,pisces
424,"Ranes, Danny",3/22/1945,4,4,aries
425,"Ranes, Larry",3/22/1945,1,5,aries
426,"Rardon, Gary",9/4/1943,4,4,virgo
427,"Rasmussen, Terry Peder",12/23/1943,6,6+,capricorn
